Light Green	lightgreen	#90EE90	CSS
Light Grey	lightgrey	#D3D3D3	CSS
Light Ivory	lightivory	#E6D2B5	RAL
Light Medium Orchid	lightmediumorchid	#D39BCB	Wikipedia
Light Moss Green	lightmossgreen	#ADDFAD	Wikipedia
Light Orange	lightorange	#FED8B1	Wikipedia
Light Orchid	lightorchid	#E6A8D7	Wikipedia
Light Pastel Purple	lightpastelpurple	#B19CD9	Wikipedia
Light Periwinkle	lightperiwinkle	#C5CBE1	Wikipedia
Light Pink	lightpink	#FFB6C1	CSS
Light Red	lightred	#FFCCCB	Wikipedia
Light Red Ochre	lightredochre	#E97451	Wikipedia
Light Salmon	lightsalmon	#FFA07A	CSS
Light Salmon Pink	lightsalmonpink	#FF9999	Wikipedia
Light Sea Green	lightseagreen	#20B2AA	CSS
Light Silver	lightsilver	#D8D8D8	Wikipedia
Light Sky Blue	lightskyblue	#87CEFA	CSS
Light Slate Gray	lightslategray	#778899	CSS
Light Slate Grey	lightslategrey	#778899	CSS
Light Steel Blue	lightsteelblue	#B0C4DE	CSS
Light Thulian Pink	lightthulianpink	#E68FAC	Wikipedia
Light Venetian Red	lightvenetianred	#E6735C	Crayola
Light Yellow	lightyellow	#FFFFE0	CSS
Lightcoral	lightcoral	#F08080	CSS
Lightcyan	lightcyan	#E0FFFF	CSS
Lightgrey	lightgrey	#D3D3D3	CSS
Lightpink	lightpink	#FFB6C1	CSS
Lightsalmon	lightsalmon	#FFA07A	CSS
Lightsea Green	lightseagreen	#20B2AA	CSS
Lightsky Blue	lightskyblue	#87CEFA	CSS
Lightslate Gray	lightslategray	#778899	CSS
Lightslategrey	lightslategrey	#778899	CSS
Lightsteel Blue	lightsteelblue	#B0C4DE	CSS
Lilac	lilac	#C8A2C8	Wikipedia
Lilac Luster	lilacluster	#AE98AA	Wikipedia
Lime	lime	#00FF00	CSS
Lime Green	limegreen	#32CD32	CSS
Limerick	limerick	#9DC209	Wikipedia
Lincoln Green	lincolngreen	#195905	Wikipedia
Linen	linen	#FAF0E6	CSS
Lion	lion	#DECC9C	Wikipedia
Liseran Purple	liseranpurple	#DE6FA1	Wikipedia
